glycan,glycan type
N5H5F1S2G0,Fuc-Sia
N8H3F1S0G0,Fucosylation
N6H6F4S0G0,Fucosylation
N6H6F0S1G0,Sialytation
N6H6F0S2G0,Sialytation
N6H6F1S1G0,Fuc-Sia
N6H7F0S3G0,Sialytation
N6H7F4S0G0,Fucosylation
N7H4F1S0G0,Fucosylation
N8H9F1S0G0,Fucosylation
N9H3F1S0G0,Fucosylation
N3H6F1S1G0,Fuc-Sia
N6H3F1S2G0,Fuc-Sia
N2H1F1S0G0,Fucosylation
N10H12F1S1G0,Fuc-Sia
N8H10F0S4G0,Sialytation
N9H10F1S2G0,Fucosylation
N9H10F3S2G0,Fuc-Sia
N6H6F1S3G0,Fuc-Sia
N6H7F1S4G0,Fuc-Sia
N8H9F3S1G0,Fuc-Sia
N7H8F3S0G0,Fucosylation
N6H9F1S2G0,Fuc-Sia
N6H9F5S0G0,Fucosylation
N4H9F0S0G0,Others
N5H6F2S3G0,Fuc-Sia
N7H8F1S1G0,Fuc-Sia
N9H4F0S0G0,Others
N6H6F1S2G0,Fuc-Sia
N7H8F4S0G0,Fucosylation
N4H7F1S2G0,Fuc-Sia
N6H7F0S4G0,Sialytation
N6H6F0S3G0,Sialytation
N9H3F0S0G0,Others
N10H11F1S0G0,Fucosylation
N6H7F4S1G0,Fuc-Sia
N7H7F0S0G0,Others
N9H10F0S0G0,Others
N5H8F1S0G0,Fucosylation
N4H5F0S4G0,Sialytation
N2H10F1S1G0,Fuc-Sia
N6H5F1S3G0,Fuc-Sia
N6H9F1S0G0,Fucosylation
N7H4F0S4G0,Sialytation
N7H6F1S4G0,Fuc-Sia
N7H7F0S2G0,Sialytation
N7H7F4S0G0,Fucosylation
N7H8F1S4G0,Fuc-Sia
N8H9F0S2G0,Sialytation
N7H7F1S4G0,Fuc-Sia
N5H8F4S0G0,Fucosylation
N7H7F1S0G0,Fucosylation
N8H10F0S2G0,Sialytation
N7H8F3S1G0,Fuc-Sia
N8H9F1S1G0,Fuc-Sia
N9H10F3S0G0,Fucosylation
N7H8F0S3G0,Sialytation
N6H7F2S0G0,Fucosylation
N8H9F1S4G0,Fuc-Sia
N7H8F0S2G0,Sialytation
N8H10F0S3G0,Sialytation
N9H11F0S3G0,Sialytation
N6H7F5S2G0,Fuc-Sia
N14H15F6S1G0,Fuc-Sia
N8H9F3S2G0,Fuc-Sia
N7H8F0S4G0,Sialytation
N9H4F1S0G0,Fucosylation
